year,community_area,primary_type,count
2001,42,HOMICIDE,9
2001,42,BATTERY,1
2001,42,DECEPTIVE PRACTICE,3
2001,42,THEFT,21
2001,42,CRIMINAL DAMAGE,1
2001,42,CRIM SEXUAL ASSAULT,5
2001,42,OFFENSE INVOLVING CHILDREN,2
2001,42,MOTOR VEHICLE THEFT,3
2001,42,SEX OFFENSE,2
2001,43,CRIM SEXUAL ASSAULT,1
2001,43,CRIMINAL SEXUAL ASSAULT,2
2001,43,HOMICIDE,20
2001,43,SEX OFFENSE,3
2001,43,THEFT,40
2001,43,OTHER OFFENSE,6
2001,43,BATTERY,2
2001,43,MOTOR VEHICLE THEFT,23
2001,43,ROBBERY,2
2001,43,OFFENSE INVOLVING CHILDREN,6
2001,43,DECEPTIVE PRACTICE,15
2001,43,CRIMINAL DAMAGE,1
2001,44,THEFT,24
2001,44,OTHER OFFENSE,4
2001,44,SEX OFFENSE,4
2001,44,BATTERY,2
2001,44,OFFENSE INVOLVING CHILDREN,6
2001,44,MOTOR VEHICLE THEFT,23
2001,44,DECEPTIVE PRACTICE,6
2001,44,STALKING,1
2001,44,BURGLARY,2
2001,44,HOMICIDE,10
2001,45,HOMICIDE,2
2001,45,DECEPTIVE PRACTICE,1
2001,45,ROBBERY,1
2001,45,MOTOR VEHICLE THEFT,4
2001,45,OTHER OFFENSE,1
2001,45,THEFT,4
2001,46,ASSAULT,1
2001,46,BATTERY,1
2001,46,NARCOTICS,1
2001,46,OFFENSE INVOLVING CHILDREN,3
2001,46,BURGLARY,2
2001,46,CRIM SEXUAL ASSAULT,7
2001,46,OTHER OFFENSE,3
2001,46,THEFT,20
2001,46,SEX OFFENSE,5
2001,46,HOMICIDE,18
2001,46,DECEPTIVE PRACTICE,6
2001,46,MOTOR VEHICLE THEFT,12
2001,46,ROBBERY,1
2001,47,HOMICIDE,1
2001,47,OTHER OFFENSE,1
2001,47,MOTOR VEHICLE THEFT,2
2001,47,THEFT,2
2001,48,THEFT,13
2001,48,NARCOTICS,1
2001,48,DECEPTIVE PRACTICE,2
2001,48,MOTOR VEHICLE THEFT,2
2001,48,OFFENSE INVOLVING CHILDREN,1
2001,48,CRIM SEXUAL ASSAULT,1
2001,48,HOMICIDE,4
2001,49,SEX OFFENSE,2
2001,49,CRIMINAL DAMAGE,1
2001,49,ASSAULT,1
2001,49,CRIM SEXUAL ASSAULT,3
2001,49,HOMICIDE,14
2001,49,DECEPTIVE PRACTICE,6
2001,49,THEFT,26
2001,49,CRIMINAL TRESPASS,1
2001,49,MOTOR VEHICLE THEFT,16
2001,49,ROBBERY,1
2001,49,BATTERY,2
2001,49,OTHER OFFENSE,5
2001,49,OFFENSE INVOLVING CHILDREN,6
2001,49,BURGLARY,1
2001,50,OTHER OFFENSE,2
2001,50,CRIM SEXUAL ASSAULT,1
2001,50,OFFENSE INVOLVING CHILDREN,2
2001,50,BURGLARY,1
2001,50,MOTOR VEHICLE THEFT,2
2001,50,THEFT,7
2001,50,SEX OFFENSE,1
2001,50,DECEPTIVE PRACTICE,2
2001,51,OTHER OFFENSE,2
2001,51,CRIM SEXUAL ASSAULT,1
2001,51,OFFENSE INVOLVING CHILDREN,3
2001,51,BURGLARY,2
2001,51,THEFT,8
2001,51,HOMICIDE,3
2001,51,DECEPTIVE PRACTICE,5
2001,51,MOTOR VEHICLE THEFT,2
2001,52,MOTOR VEHICLE THEFT,2
2001,52,ASSAULT,1
2001,52,SEX OFFENSE,1
2001,52,HOMICIDE,3
2001,52,OTHER OFFENSE,1
2001,52,DECEPTIVE PRACTICE,1
2001,52,THEFT,3
2001,52,OFFENSE INVOLVING CHILDREN,1
2001,53,BURGLARY,1
2001,53,OTHER OFFENSE,4
2001,53,CRIMINAL SEXUAL ASSAULT,1
2001,53,HOMICIDE,8
2001,53,OFFENSE INVOLVING CHILDREN,1
2001,53,CRIM SEXUAL ASSAULT,1
2001,53,CRIMINAL DAMAGE,1
2001,53,SEX OFFENSE,1
2001,53,DECEPTIVE PRACTICE,1
2001,53,MOTOR VEHICLE THEFT,12
2001,53,THEFT,24
2001,53,BATTERY,1
2001,54,HOMICIDE,1
2001,54,MOTOR VEHICLE THEFT,4
2001,54,THEFT,5
2001,54,DECEPTIVE PRACTICE,1
2001,54,CRIM SEXUAL ASSAULT,2
2001,54,OFFENSE INVOLVING CHILDREN,1
2001,55,MOTOR VEHICLE THEFT,3
2001,55,BURGLARY,1
2001,55,OFFENSE INVOLVING CHILDREN,1
2001,55,THEFT,5
2001,56,CRIMINAL DAMAGE,3
2001,56,OFFENSE INVOLVING CHILDREN,3
2001,56,OTHER OFFENSE,1
2001,56,HOMICIDE,3
2001,56,DECEPTIVE PRACTICE,9
2001,56,THEFT,10
2001,56,SEX OFFENSE,3
2001,56,MOTOR VEHICLE THEFT,9
2001,56,BATTERY,2
2001,57,HOMICIDE,1
2001,57,OTHER OFFENSE,1
2001,57,MOTOR VEHICLE THEFT,4
2001,57,CRIM SEXUAL ASSAULT,1
2001,57,SEX OFFENSE,1
2001,57,THEFT,5
2001,57,DECEPTIVE PRACTICE,2
2001,58,DECEPTIVE PRACTICE,2
2001,58,CRIMINAL DAMAGE,3
2001,58,OFFENSE INVOLVING CHILDREN,7
2001,58,BURGLARY,1
2001,58,SEX OFFENSE,5
2001,58,PROSTITUTION,2
2001,58,MOTOR VEHICLE THEFT,9
2001,58,THEFT,12
2001,58,HOMICIDE,7
2001,58,OTHER OFFENSE,1
2001,58,CRIM SEXUAL ASSAULT,1
2001,58,CRIMINAL SEXUAL ASSAULT,2
2001,58,BATTERY,1
2001,59,HOMICIDE,2
2001,59,SEX OFFENSE,1
2001,59,MOTOR VEHICLE THEFT,5
2001,59,CRIMINAL DAMAGE,1
2001,59,THEFT,6
2001,59,BURGLARY,2
2001,60,BATTERY,2
2001,60,DECEPTIVE PRACTICE,7
2001,60,THEFT,8
2001,60,MOTOR VEHICLE THEFT,2
2001,60,HOMICIDE,1
2001,60,CRIMINAL DAMAGE,1
2001,60,OFFENSE INVOLVING CHILDREN,2
2001,61,CRIMINAL DAMAGE,1
2001,61,CRIMINAL SEXUAL ASSAULT,1
2001,61,BATTERY,4
2001,61,HOMICIDE,7
2001,61,OTHER OFFENSE,4
2001,61,DECEPTIVE PRACTICE,5
2001,61,CRIM SEXUAL ASSAULT,8
2001,61,SEX OFFENSE,4
2001,61,BURGLARY,4
2001,61,MOTOR VEHICLE THEFT,12
2001,61,ROBBERY,2
2001,61,THEFT,20
2001,61,OFFENSE INVOLVING CHILDREN,8
2001,62,CRIMINAL SEXUAL ASSAULT,1
2001,62,OFFENSE INVOLVING CHILDREN,2
2001,62,THEFT,5
2001,62,MOTOR VEHICLE THEFT,3
2001,62,OTHER OFFENSE,1
2001,62,CRIM SEXUAL ASSAULT,1
2001,63,ROBBERY,1
2001,63,OFFENSE INVOLVING CHILDREN,1
2001,63,DECEPTIVE PRACTICE,4
2001,63,CRIM SEXUAL ASSAULT,2
2001,63,SEX OFFENSE,1
2001,63,BATTERY,2
2001,63,THEFT,16
2001,63,MOTOR VEHICLE THEFT,10
2001,63,CRIMINAL DAMAGE,1
2001,63,HOMICIDE,6
2001,63,OTHER OFFENSE,1
2001,64,THEFT,3
2001,64,MOTOR VEHICLE THEFT,9
2001,64,OFFENSE INVOLVING CHILDREN,2
2001,64,BURGLARY,1
2001,64,HOMICIDE,1
2001,64,OTHER OFFENSE,3
2001,64,DECEPTIVE PRACTICE,6
2001,65,BURGLARY,1
2001,65,HOMICIDE,1
2001,65,THEFT,12
2001,65,DECEPTIVE PRACTICE,4
2001,65,MOTOR VEHICLE THEFT,13
2001,65,OFFENSE INVOLVING CHILDREN,2
2001,66,OTHER OFFENSE,6
2001,66,MOTOR VEHICLE THEFT,18
2001,66,OFFENSE INVOLVING CHILDREN,12
2001,66,ASSAULT,1
2001,66,BATTERY,1
2001,66,CRIMINAL TRESPASS,1
2001,66,THEFT,25
2001,66,DECEPTIVE PRACTICE,8
2001,66,NARCOTICS,1
2001,66,SEX OFFENSE,3
2001,66,CRIMINAL DAMAGE,4
2001,66,HOMICIDE,6
2001,66,CRIM SEXUAL ASSAULT,2
2001,67,THEFT,40
2001,67,CRIM SEXUAL ASSAULT,8
2001,67,BATTERY,1
2001,67,CRIMINAL SEXUAL ASSAULT,1
2001,67,OTHER OFFENSE,1
2001,67,SEX OFFENSE,5
2001,67,NARCOTICS,1
2001,67,DECEPTIVE PRACTICE,6
2001,67,OFFENSE INVOLVING CHILDREN,4
2001,67,HOMICIDE,9
2001,67,CRIMINAL DAMAGE,1
